Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,CUST001,Male,34,Beauty,3,50,150
2,CUST002,Female,26,Clothing,2,500,1000
3,CUST003,Male,50,Electronics,1,30,30
4,CUST004,Male,37,Clothing,1,500,500
5,CUST005,Male,30,Beauty,2,50,100
6,CUST006,Female,45,Beauty,1,30,30
7,CUST007,Male,46,Clothing,2,25,50
8,CUST008,Male,30,Electronics,4,25,100
9,CUST009,Male,63,Electronics,2,300,600
10,CUST010,Female,52,Clothing,4,50,200
11,CUST011,Male,23,Clothing,2,50,100
12,CUST012,Male,35,Beauty,3,25,75
13,CUST013,Male,22,Electronics,3,500,1500
14,CUST014,Male,64,Clothing,4,30,120
15,CUST015,Female,42,Electronics,4,500,2000
16,CUST016,Male,19,Clothing,3,500,1500
17,CUST017,Female,27,Clothing,4,25,100
18,CUST018,Female,47,Electronics,2,25,50
19,CUST019,Female,62,Clothing,2,25,50
20,CUST020,Male,22,Clothing,3,300,900
21,CUST021,Female,50,Beauty,1,500,500
22,CUST022,Male,18,Clothing,2,50,100
23,CUST023,Female,35,Clothing,4,30,120
24,CUST024,Female,49,Clothing,1,300,300
25,CUST025,Female,64,Beauty,1,50,50
26,CUST026,Female,28,Electronics,2,500,1000
27,CUST027,Female,38,Beauty,2,25,50
28,CUST028,Female,43,Beauty,1,500,500
29,CUST029,Female,42,Electronics,1,30,30
30,CUST030,Female,39,Beauty,3,300,900
31,CUST031,Male,44,Electronics,4,300,1200
32,CUST032,Male,30,Beauty,3,30,90
33,CUST033,Female,50,Electronics,2,50,100
34,CUST034,Female,51,Clothing,3,50,150
35,CUST035,Female,58,Beauty,3,300,900
36,CUST036,Male,52,Beauty,3,300,900
37,CUST037,Female,18,Beauty,3,25,75
38,CUST038,Male,38,Beauty,4,50,200
39,CUST039,Male,23,Clothing,4,30,120
40,CUST040,Male,45,Beauty,1,50,50
41,CUST041,Male,34,Clothing,2,25,50
42,CUST042,Male,22,Clothing,3,300,900
43,CUST043,Female,48,Clothing,1,300,300
44,CUST044,Female,22,Clothing,1,25,25
45,CUST045,Female,55,Electronics,1,30,30
46,CUST046,Female,20,Electronics,4,300,1200
47,CUST047,Female,40,Beauty,3,500,1500
48,CUST048,Male,54,Electronics,3,300,900
49,CUST049,Female,54,Electronics,2,500,1000
50,CUST050,Female,27,Beauty,3,25,75
51,CUST051,Male,27,Beauty,3,25,75
52,CUST052,Female,36,Beauty,1,300,300
53,CUST053,Male,34,Electronics,2,50,100
54,CUST054,Female,38,Electronics,3,500,1500
55,CUST055,Male,31,Beauty,4,30,120
56,CUST056,Female,26,Clothing,3,300,900
57,CUST057,Female,63,Beauty,1,30,30
58,CUST058,Male,18,Clothing,4,300,1200
59,CUST059,Male,62,Clothing,1,50,50
60,CUST060,Male,30,Beauty,3,50,150
61,CUST061,Male,21,Beauty,4,50,200
62,CUST062,Male,18,Beauty,2,50,100
63,CUST063,Male,57,Electronics,2,25,50
64,CUST064,Male,49,Clothing,4,25,100
65,CUST065,Male,51,Electronics,4,500,2000
66,CUST066,Female,45,Electronics,1,30,30
67,CUST067,Female,48,Beauty,4,300,1200
68,CUST068,Male,25,Electronics,1,300,300
69,CUST069,Female,56,Beauty,3,25,75
70,CUST070,Female,43,Clothing,1,300,300
71,CUST071,Female,51,Beauty,4,25,100
72,CUST072,Female,20,Electronics,4,500,2000
73,CUST073,Male,29,Electronics,3,30,90
74,CUST074,Female,18,Beauty,4,500,2000
75,CUST075,Male,61,Beauty,4,50,200
76,CUST076,Female,22,Electronics,2,50,100
77,CUST077,Female,47,Clothing,2,50,100
78,CUST078,Female,47,Clothing,3,500,1500
